iter	Passed	Remaining
1060	7557	13811
1061	7559	13795
1062	7562	13781
1063	7566	13767
1064	7568	13751
1065	7570	13734
1066	7572	13718
1067	7575	13704
1068	7579	13690
1069	7581	13675
1070	7584	13659
1071	7586	13643
1072	7587	13627
1073	7589	13611
1074	7592	13595
1075	7595	13581
1076	7597	13564
1077	7598	13548
1078	7600	13532
1079	7602	13516
1080	7604	13499
1081	7608	13486
1082	7610	13470
1083	7612	13455
1084	7614	13439
1085	7616	13423
1086	7618	13407
1087	7620	13391
1088	7622	13375
1089	7624	13360
1090	7629	13349
1091	7631	13333
1092	7633	13319
1093	7637	13306
1094	7641	13293
1095	7645	13281
1096	7649	13269
1097	7651	13254
1098	7653	13239
1099	7655	13223
1100	7659	13211
1101	7664	13201
1102	7667	13187
1103	7669	13171
1104	7671	13156
1105	7674	13142
1106	7676	13126
1107	7678	13111
1108	7680	13096
1109	7682	13081
1110	7684	13066
1111	7687	13051
1112	7690	13038
1113	7694	13026
1114	7696	13011
1115	7698	12996
1116	7702	12984
1117	7706	12972
1118	7709	12959
1119	7712	12945
1120	7716	12934
1121	7720	12923
1122	7722	12907
1123	7726	12895
1124	7729	12882
1125	7731	12867
1126	7735	12855
1127	7738	12842
1128	7742	12831
1129	7744	12816
1130	7747	12802
1131	7749	12787
1132	7751	12772
1133	7753	12758
1134	7755	12743
1135	7758	12730
1136	7761	12717
1137	7765	12706
1138	7769	12694
1139	7773	12683
1140	7776	12669
1141	7779	12656
1142	7781	12642
1143	7784	12629
1144	7787	12616
1145	7789	12601
1146	7792	12589
1147	7794	12575
1148	7798	12562
1149	7800	12549
1150	7802	12534
1151	7806	12522
1152	7811	12513
1153	7815	12501
1154	7817	12487
1155	7819	12473
1156	7824	12464
1157	7826	12449
1158	7828	12435
1159	7831	12421
1160	7834	12410
1161	7838	12397
1162	7840	12384
1163	7844	12373
1164	7847	12360
1165	7850	12348
1166	7854	12336
1167	7857	12324
1168	7860	12312
1169	7862	12298
1170	7864	12283
1171	7866	12269
1172	7868	12255
1173	7872	12244
1174	7874	12231
1175	7878	12219
1176	7882	12208
1177	7885	12195
1178	7889	12186
1179	7893	12174
1180	7895	12161
1181	7897	12147
1182	7901	12135
1183	7904	12124
1184	7908	12112
1185	7910	12098
1186	7911	12083
1187	7913	12069
1188	7915	12056
1189	7918	12043
1190	7924	12037
1191	7928	12025
1192	7930	12011
1193	7933	12000
1194	7936	11987
1195	7938	11974
1196	7940	11960
1197	7943	11948
1198	7945	11934
1199	7947	11920
1200	7949	11907
1201	7951	11894
1202	7953	11880
1203	7955	11867
1204	7957	11853
1205	7960	11841
1206	7963	11830
1207	7965	11816
1208	7967	11803
1209	7972	11794
1210	7974	11781
1211	7976	11767
1212	7978	11754
1213	7982	11743
1214	7985	11732
1215	7989	11721
1216	7993	11710
1217	7996	11699
1218	8002	11691
1219	8008	11684
1220	8011	11672
1221	8013	11659
1222	8016	11647
1223	8018	11635
1224	8020	11622
1225	8022	11609
1226	8024	11595
1227	8027	11583
1228	8031	11572
1229	8033	11560
1230	8035	11547
1231	8037	11534
1232	8039	11521
